layered mean	T1	T3	T5	T6	T7	T9	T11	T13	T15	T17	T19	T21	T23	T25	T27	T29	T31	T33	T35	T37	T39
500 I	519.3351	536.83965	648.0463	681.5625	852.7936	829.3212	910.0425	1085.87385	1148.398	1486.7637	1678.56585	1878.4584	1690.0272	2767.6864	3884.13945	3613.95945	3827.9336	3639.037	2725.5969	2300.2644	3221.20305
1250 D	476.5443	550.5624	567.00795	596.816334285714	718.09975	904.8204	1230.273	1235.43925	825.175	278.3968	113.5053	196.35296	537.6637	491.384216666667	467.626	495.6612	524.2944	507.666	492.1092	526.3104	668.4017
750 I	478.176	519.27685	694.8654	484.564	799.4126	778.9088	1009.2551	1090.35255	576.79055	268.995	253.3224	330.6922	539.6174	776.31435	1040.288	995.4711	1017.11775	956.31355	675.2848	594.4631	649.9056
500 D	454.60415	538.9538	558.9756	518.218982142857	723.2491	826.18255	1089.9292	1139.9832	768.94935	648.75975	802.2528	918.64305	1125.86175	1851.38945	2563.60225333333	2643.9606	2418.9664	1501.0268	503.6454	412.2684	914.71875
1000 I	448.7019	569.30005	613.79045	450.94	684.4001	754.728	1044.34	1038.49765	738.1825	485.9393	424.97075	227.33095	257.5625	210.021	247.7952	307.7568	450.31	513.2436	554.90955	556.76	686.7306
0 D	500.1975	528.5993	608.057692857143	651.902871428571	608.8247	174.75185	210.8262	425.7619	1243.4064	2087.21155	2486.6898	3643.4672	2852.1398	1657.4142	426.0354	195.26045	190.4844	250.18425	310.01625	306.7178	298.6406
250 I	459.096	522.9855	599.32735	508.776	541.4175	195.6294	260.1085	447.903	1238.2776	2049.3938	2512.34275	1998.55285	782.8644	216.5389	132.9615	201.11645	260.39325	600.066	830.648	1179.8908	1935.8196
750 D	455.9292	502.02215	495.898610714286	609.430307142857	679.1472	776.217	1014.1473	1097.5104	1092.5577	721.5021	792.2552	716.35575	726.051	725.4	1029.2117	1555.0866	1979.77955	2258.1066	2203.1358	1929.2475	2080.9434
0 I	444.2257	664.64965	740.9028	489.29625	285.69945	165.0063	215.8024	380.8657	1109.5449	1952.6265	2393.1845	1841.52275	450.1267	151.8244	102.9483	125.1093	179.498	247.02165	276.169	354.87375	598.87795
250 D	502.34405	675.43525	807.611696428571	839.397185714286	422.7381	124.11095	177.559	500.055	1108.3608	1942.748	2791.216	3195.12025	1622.0367	744.6936	237.567	219.8154	511.7896	857.2905	856.36735	925.8309	1196.3974
1250 I	467.8995	541.5237	572.04235	504.9642	658.56055	862.4983	1099.01575	1107.2361	805.0094	380.0529	231.7778	250.3356	355.4775	386.61895	557.54	234.954	251.2548	303.0993	406.7365	513.0629	636.7182
1000 D	492.352	534.9578	550.6039	623.471632142857	662.6817	804.6976	1005.3936	896.8911	577.7598	458.9406	514.24725	602.854	503.138	518.0054	569.0395	648.73	802.7604	1076.4234	1121.01015	1227.5479	1461.221
